Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Type,Item,Quantity
"0x198ad2a9581c98759c90c1782a854fac896c0e0d342c8749d28f7f96bae0ca7e","Success","Trade","84959684","2026-04-01 10:30:05","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","1747"
"0x198ad2a9581c98759c90c1782a854fac896c0e0d342c8749d28f7f96bae0ca7e","Success","Trade","84959684","2026-04-01 10:30:05","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","1728253"
"0x0d2689be67070abe3c97713e7ad31a7566af767da069182eca10f300cc461795","Success","Trade","84959684","2026-04-01 10:30:05","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","4919"
"0x0d2689be67070abe3c97713e7ad31a7566af767da069182eca10f300cc461795","Success","Trade","84959684","2026-04-01 10:30:05","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","4865081"
"0xcc3b773c3b8dcb84a6440d98e99bbe51f11bce8276047b1c27b30f4c3c1a347a","Success","Trade","84959683","2026-04-01 10:30:03","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","38848"
"0xcc3b773c3b8dcb84a6440d98e99bbe51f11bce8276047b1c27b30f4c3c1a347a","Success","Trade","84959683","2026-04-01 10:30:03","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","38421152"
"0xbfc7ff0f1aa1f3ff3e16b783c6ca335a804d2c9bbbf19f3c694983d5f2585398","Success","Trade","84959683","2026-04-01 10:30:03","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","42080"
"0xbfc7ff0f1aa1f3ff3e16b783c6ca335a804d2c9bbbf19f3c694983d5f2585398","Success","Trade","84959683","2026-04-01 10:30:03","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","41617920"
"0x9a78f26504ed09d312906050e15168a9a865feafd160067783252e61d48a6696","Success","Trade","84959683","2026-04-01 10:30:03","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","121212"
"0x9a78f26504ed09d312906050e15168a9a865feafd160067783252e61d48a6696","Success","Trade","84959683","2026-04-01 10:30:03","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","119878788"
"0xda34e9dc73183fa269c8830c940e60204c1998548af428bd84c1f8cd5347cbc9","Success","Trade","84959683","2026-04-01 10:30:03","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","112232"
"0xda34e9dc73183fa269c8830c940e60204c1998548af428bd84c1f8cd5347cbc9","Success","Trade","84959683","2026-04-01 10:30:03","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","110997768"
"0xe8ec6d61633581c27953d89a5dbf9917b590c468c92ce758cf61e804ed2d2f79","Success","Trade","84959683","2026-04-01 10:30:03","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","37404"
"0xe8ec6d61633581c27953d89a5dbf9917b590c468c92ce758cf61e804ed2d2f79","Success","Trade","84959683","2026-04-01 10:30:03","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","36992596"
"0xe1a4c0d3906626def4fb6a7e467733816e960d43f9e8501cb7fa437fe05d9698","Success","Trade","84959683","2026-04-01 10:30:03","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","50505"
"0xe1a4c0d3906626def4fb6a7e467733816e960d43f9e8501cb7fa437fe05d9698","Success","Trade","84959683","2026-04-01 10:30:03","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","49949495"
"0x9aec3b83801c5ce70a838e5baa1de26dd7fe503bad93852369ca8a617ba889db","Success","Trade","84959683","2026-04-01 10:30:03","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","118181"
"0x9aec3b83801c5ce70a838e5baa1de26dd7fe503bad93852369ca8a617ba889db","Success","Trade","84959683","2026-04-01 10:30:03","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","116881819"
"0xfaac47df4c035a15a5eda47dbdfa3712f979a9f86fc406c64091856349911b42","Success","Trade","84959683","2026-04-01 10:30:03","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","194803031"
"0xfaac47df4c035a15a5eda47dbdfa3712f979a9f86fc406c64091856349911b42","Success","Trade","84959683","2026-04-01 10:30:03","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","196969"
"0x5feb2be4132b63b38540d3494d50489d068d29229384900a1854a6422444cdb6","Success","Trade","84959683","2026-04-01 10:30:03","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","447471648"
"0x5feb2be4132b63b38540d3494d50489d068d29229384900a1854a6422444cdb6","Success","Trade","84959683","2026-04-01 10:30:03","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","425192"
"0x026982c535d86c7e11679959d6b627f8311e0b877bfb659aeca7115ef7bc48e8","Success","Trade","84959134","2026-04-01 10:11:45","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","ERC-1155","","27750000"
"0x804b4714b403498d5cb5b199699bf53e342ac53c6e8f13744f84d6391a0fed70","Success","Trade","84958796","2026-04-01 10:00:29","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","10988889"
"0x804b4714b403498d5cb5b199699bf53e342ac53c6e8f13744f84d6391a0fed70","Success","Trade","84958796","2026-04-01 10:00:29","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","11111"
"0x916e3c3056a13d271465c83f99b583dceb574626ff6125f1e87d131a28cba0bb","Success","Trade","84958795","2026-04-01 10:00:27","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","1158829"
"0x916e3c3056a13d271465c83f99b583dceb574626ff6125f1e87d131a28cba0bb","Success","Trade","84958795","2026-04-01 10:00:27","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","1171"
"0x50e27a90611c5f9b20061190314609546e9a1a9a3e768375932138a0e23e44ae","Success","Trade","84958795","2026-04-01 10:00:27","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","1997980"
"0x50e27a90611c5f9b20061190314609546e9a1a9a3e768375932138a0e23e44ae","Success","Trade","84958795","2026-04-01 10:00:27","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","2020"
"0xc960f9b99f07393753f4ceb438f41ed6d22ba0eff1214222ab254eed47431ff6","Success","Trade","84958794","2026-04-01 10:00:25","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","1997980"
"0xc960f9b99f07393753f4ceb438f41ed6d22ba0eff1214222ab254eed47431ff6","Success","Trade","84958794","2026-04-01 10:00:25","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","2020"
"0xe37d3332b5ff2df6bf675fb3b50d208a6eae4fe208def28f706ac6a3f0f3ad63","Success","Trade","84958794","2026-04-01 10:00:25","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","1997980"
"0xe37d3332b5ff2df6bf675fb3b50d208a6eae4fe208def28f706ac6a3f0f3ad63","Success","Trade","84958794","2026-04-01 10:00:25","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","2020"
"0xd4100d6ff338645568fe35236a9b970627ed6d96e69e2f91927bbe6415837d4a","Success","Trade","84958794","2026-04-01 10:00:25","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","1997980"
"0xd4100d6ff338645568fe35236a9b970627ed6d96e69e2f91927bbe6415837d4a","Success","Trade","84958794","2026-04-01 10:00:25","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","2020"
"0xab7475f3368fa104965811d621a209136c8314c20b3e3183d4a1f40caa884949","Success","Trade","84958791","2026-04-01 10:00:19","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","1997980"
"0xab7475f3368fa104965811d621a209136c8314c20b3e3183d4a1f40caa884949","Success","Trade","84958791","2026-04-01 10:00:19","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","2020"
"0x56066bfc08026b0d90452c301f8f5e9ea158432431d6bde82523c3d041603fcc","Success","Trade","84958790","2026-04-01 10:00:17","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","11708162"
"0x56066bfc08026b0d90452c301f8f5e9ea158432431d6bde82523c3d041603fcc","Success","Trade","84958790","2026-04-01 10:00:17","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","11838"
"0xb8e4c1d2c4f4dcd67ea3307dfa137cfa9d33292e0dfd33495bf49d37159b4257","Success","Trade","84958786","2026-04-01 10:00:09","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","4994950"
"0xb8e4c1d2c4f4dcd67ea3307dfa137cfa9d33292e0dfd33495bf49d37159b4257","Success","Trade","84958786","2026-04-01 10:00:09","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","5050"
"0x6e4fc0184c18a6415c0e9ca22c3a7b3e92641b4315a37a57232cfb608542b348","Success","Trade","84958783","2026-04-01 10:00:03","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","359636364"
"0x6e4fc0184c18a6415c0e9ca22c3a7b3e92641b4315a37a57232cfb608542b348","Success","Trade","84958783","2026-04-01 10:00:03","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","363636"
"0xf12f8bc41c443f1ddd5e78b6809c20ba54dd96a31d8012a52bfd8d4754cefa4f","Success","Trade","84958783","2026-04-01 10:00:03","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","59712691"
"0xf12f8bc41c443f1ddd5e78b6809c20ba54dd96a31d8012a52bfd8d4754cefa4f","Success","Trade","84958783","2026-04-01 10:00:03","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","19389"
"0x98a6e27773a0b62761efb05e2cae663f5c72451affc604bab550504309d8f35e","Success","Trade","84958783","2026-04-01 10:00:03","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","2217758"
